Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
01-02-2007;0:00:00;0,3260;0,1280;243,1500;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:01:00;0,3260;0,1300;243,3200;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:02:00;0,3240;0,1320;243,5100;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:03:00;0,3240;0,1340;243,9000;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:04:00;0,3220;0,1300;243,1600;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:05:00;0,3200;0,1260;242,2900;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:06:00;0,3200;0,1260;242,4600;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:07:00;0,3200;0,1260;242,6300;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:08:00;0,3200;0,1280;242,7000;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:09:00;0,2360;0,0000;242,8900;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:10:00;0,2260;0,0000;243,0000;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:11:00;0,2240;0,0000;242,5000;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:12:00;0,2240;0,0000;242,1800;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:13:00;0,2240;0,0000;242,1500;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:14:00;0,2240;0,0000;242,7300;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:15:00;0,2600;0,0000;242,8500;1,2000;0,0000;0,0000;0,0000
01-02-2007;0:16:00;0,3040;0,0960;242,8900;1,2000;0,0000;0,0000;0,0000
01-02-2007;0:17:00;0,3020;0,0960;242,8700;1,2000;0,0000;0,0000;0,0000
01-02-2007;0:18:00;0,3020;0,0940;242,1900;1,2000;0,0000;0,0000;0,0000
01-02-2007;0:19:00;0,3000;0,0940;242,2300;1,2000;0,0000;0,0000;0,0000
01-02-2007;0:20:00;0,3000;0,0940;242,1600;1,2000;0,0000;0,0000;0,0000
01-02-2007;0:21:00;0,2980;0,0940;242,2900;1,2000;0,0000;0,0000;0,0000
01-02-2007;0:22:00;0,2980;0,0940;242,4700;1,2000;0,0000;0,0000;0,0000
01-02-2007;0:23:00;0,2960;0,0940;242,3200;1,2000;0,0000;0,0000;0,0000
01-02-2007;0:24:00;0,2960;0,0960;242,9800;1,2000;0,0000;0,0000;0,0000
01-02-2007;0:25:00;0,2980;0,1000;243,6500;1,2000;0,0000;0,0000;0,0000
01-02-2007;0:26:00;0,2280;0,0000;243,5500;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:27:00;0,2260;0,0000;243,1100;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:28:00;0,2260;0,0000;243,0900;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:29:00;0,2260;0,0000;243,0500;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:30:00;0,2260;0,0000;243,2200;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:31:00;0,2260;0,0000;243,3700;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:32:00;0,2260;0,0000;243,1400;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:33:00;0,2260;0,0000;243,1200;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:34:00;0,3220;0,0940;242,7400;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:35:00;0,3360;0,1260;242,5900;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:36:00;0,3320;0,1260;242,9100;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:37:00;0,3320;0,1300;243,5100;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:38:00;0,3300;0,1300;243,6500;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:39:00;0,3280;0,1280;243,3700;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:40:00;0,3280;0,1300;243,7900;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:41:00;0,3260;0,1280;243,2300;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:42:00;0,3240;0,1260;242,9800;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:43:00;0,3220;0,1260;242,9500;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:44:00;0,3220;0,1240;242,6000;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:45:00;0,3220;0,1280;243,3300;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:46:00;0,3180;0,1180;241,3200;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:47:00;0,3160;0,1160;240,9300;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:48:00;0,3160;0,1160;240,9300;1,4000;0,0000;0,0000;0,0000
01-02-2007;0:49:00;0,2740;0,0580;240,3600;1,2000;0,0000;0,0000;0,0000
01-02-2007;0:50:00;0,2220;0,0000;240,9300;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:51:00;0,2220;0,0000;240,8300;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:52:00;0,2220;0,0000;240,5200;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:53:00;0,2240;0,0000;241,4500;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:54:00;0,2240;0,0000;241,5900;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:55:00;0,2260;0,0000;242,5500;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:56:00;0,2260;0,0000;242,8800;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:57:00;0,2260;0,0000;242,6300;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:58:00;0,2240;0,0000;242,2000;1,0000;0,0000;0,0000;0,0000
01-02-2007;0:59:00;0,2240;0,0000;241,8400;1,0000;0,0000;0,0000;0,0000
01-02-2007;1:00:00;0,2220;0,0000;240,8900;1,0000;0,0000;0,0000;0,0000
01-02-2007;1:01:00;0,2220;0,0000;240,8600;1,0000;0,0000;0,0000;0,0000
01-02-2007;1:02:00;0,2600;0,0000;240,6400;1,2000;0,0000;0,0000;0,0000
01-02-2007;1:03:00;0,2980;0,0880;240,7200;1,2000;0,0000;0,0000;0,0000
01-02-2007;1:04:00;0,3020;0,0940;242,1800;1,2000;0,0000;0,0000;0,0000
01-02-2007;1:05:00;0,3020;0,0960;242,6600;1,2000;0,0000;0,0000;0,0000
01-02-2007;1:06:00;0,3020;0,0960;242,7700;1,2000;0,0000;0,0000;0,0000
01-02-2007;1:07:00;0,3000;0,0960;242,6000;1,2000;0,0000;0,0000;0,0000
01-02-2007;1:08:00;0,2980;0,0940;242,3800;1,2000;0,0000;0,0000;0,0000
